id,gender,age,location,children_in_house,highest_qualification,employment,housework_week,interest_sustainability,sustainability_daily_think,primary_driver_sustainable_activities,insterest_sustainability_origin,sustainability_important,sustainability_barrier,energy_action,energy_action_often,energy_action_comment,water_action,water_action_often,water_action_comment,food_action,food_action_often,food_action_comment,waste_action,waste_action_often,waste_action_comment,other_action,other_action_often,other_action_comment,gender_thoughts
56,Female,21-29,"Edinburgh, UK",0,Bachelor degree,Student,7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",The damage we do the plant is very scary to me. I think we have a hugely damaging effect for wildlife and other people here and across the world.  ,"The generation of all non degradable, non recycled waste. ","Cost. It is more expensive to buy package free basics or vegetables from markets, (which would come without packaging). Beyond that I feel like I already do more than most people so I get despondent with the effect I can have.      ",DEFG,Sometimes,NA,BG,All the time,"I do not eat meat or dairy, partly for this reason",BC,Often,NA,ABCDEFG,Sometimes,NA,BC,Sometimes,I encourage not eating meat in others but particularly on waste my partner oftern leads,NA
57,Female,21-29,"Edinburgh, UK",0,Some university but no degree,"Employed, working part-time",1-3 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Global environmental impact ,Waste,Plastic wrap ,BDE,Often,NA,BG,Sometimes,NA,CD,Sometimes,NA,ACDEFG,Often,NA,ABC,Often,NA,The females in our house tend to be more thoughtful about not producing waste to begin with. Whereas the male in our house tends to consider more what to do with the waste once it's occured.
58,Male,21-29,"Toledo, Spain",0,Post-graduate degree,"Employed, working part-time",7-10 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",The world is on the verge of collapse,"Waste, food",Everything is wrapped in plastic!,BCEFGH,Often,NA,BGH,Often,NA,BD,Often,NA,CDEFG,Often,There's no organic composting bins in my country,C,All the time,I love plants,"I don't know to what extent gender is a significant issue here. I've lived with both male nd female flatmates, some of them were clean, others were messy. I think girls are slightly more messy in the loo (their toiletries are all around), but apart from that I don't see any difference related to gender. It has more to do, I think, with education and environmental consciousness"
59,Female,30-39,"Raleigh, NC",3,Post-graduate degree,"Not employed, NOT looking for work",4-6 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.","Trying to care for our resources, also trying to be cost-effective","Energy, waste, water, food",Cost,BDFGH,Often,NA,ABG,Often,NA,BD,Often,NA,ACDEFG,Often,NA,AB,Often,NA,NA
60,Female,21-29,"Crewe, UK",0,Bachelor degree,Student,10+ hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.","I was raised to respect the planet, and I wish to do everything in my power to preserve it. ","Food, waste, energy (eg nuclear fusion as opposed to fission)","Costs, and my mother's illness and disability. ",BCDFGH,All the time,NA,ABH,All the time,"In our previous house we watered with grey water, and collected water in a water butt, but we don't have the space here. ",BCD,All the time,"In our previous house, we grew some of our own vegetables (not with any great success, but we tried).",ACDEFG,All the time,"In our previous house we had a compost bin, but we don't have the space here. ",ABC,All the time,NA,"I should point out that these measures were all introduced by my mother, adopted by myself and my boyfriend is perfectly happy to continue doing most of them. The male student in my houseshare at uni does nothing to aid sustainability. Personally I think the variance is closer linked to personality (and intelligence) rather than gender. "
61,Female,50-59,"Edinburgh, UK",0,Post-graduate degree,"Employed, working part-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Not sure this question means anything. It's just the right thing to do.,Waste of any sort so all of the above,The way homes are built in Edinburgh and packaging that is v hard to avoid.,ABCDEFGH,Often,NA,ABEGH,Often,NA,ABCD,Often,NA,ABCDEFG,Often,NA,BC,Often,NA,Women do majority of household chores still so also main burden of sustainability.
62,Female,30-39,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",I feel it's important to look after the planet we have. ,"Recycling, reducing  energy consumption ","Packaging it's on everything and it is nearly all plastic which is a change from when I was younger when Products came in glass jars, metal tins or loose.  ",ABCDEFGH,All the time,We would do more of the above but we don't own our flat so can't change infrastructure ,AG,Often,We don't have a garden so some of these are not applicable ,BD,All the time,We are vegan and try to home cook food as music has possible. ,ACDEFG,All the time,We don't have curb side recycling so have to take our recycling in the car to a local supermarket which isn't ideal. ,A,Often,NA,In our home gender doesn't play a role in how sustainable we are.  We are. It's keen to help care for the environment.  We both have technical backgrounds and try and look for sustainable solutions to issues around the house.  I (the female) however do the majority of the cleaning.  The o lay task I never do is taking the recycling to the centre as I don't have a car and he does.
63,Female,30-39,"Edinburgh, UK",0,Post-graduate degree,"Not employed, looking for work",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",I'm of an environmental science background ,Waste management,Lack of ways to recycle different waste categories,BDEG,All the time,I always spend more for LED bulbs. I hope more ppl make the change ,AEG,Sometimes,NA,BD,Often,NA,BCDEG,Often,NA,AB,Often,NA,"I don't think there is a big difference in adopting sustainability patterns but I do think that as a woman, I'm more focused on precise actions like composting all food waste, managing different paper wastes correctly etc while my partner does things like not wasting water, switching off lights but he's less concerned about recycling correctly."
64,Female,21-29,"Edinburgh, UK",0,Bachelor degree,Student,4-6 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Climate change,Energy,Time,BDEG,Often,NA,AEG,Sometimes,NA,BCD,Sometimes,NA,ACDEFG,Often,NA,AB,Sometimes,NA,"I don't know that it does, I think it has more to do with personality, information and experience"
65,Male,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working part-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Global warming ,"Food, energy",Cost,ABCDEFGH,All the time,NA,AEG,Often,NA,ABCD,Sometimes,NA,ABCDEG,All the time,NA,ABC,Often,NA,NA
66,Female,21-29,"Savannah, GA",0,Bachelor degree,"Employed, working full-time",7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",AP Environmental Studies in high school,Waste and energy,Locational access (I live too far from work and most amenities to walk or bike and have no mass transit option),ABCDE,All the time,We run fans as opposed to excessive AC when possible and are frequently conscious of turning off lights and appliances when not in use,BGH,Sometimes,In our rental home we do not have the ability to install a rain barrel or grey water system but would if we could,BCD,Often,"We cook efficiently and produce vert little food waste, and buy seasonally as often as possible",ACDEF,All the time,"We are consistently aiming to reduce, refuse, recycle",AB,Sometimes,We aim to buy natural products when we can and they are cheap enough to afford,My fiance and I generally share responsibility in making our home sustainable and both care about the issue. We balance each other out and he focuses more on buying organic food and saving energy while I focus more on water and waste. I think his motives are sometimes a bit more cost driven (saving energy to reduce the electric bill) while I think more about environmental impact.
67,Female,50-59,"Preston, UK",0,Bachelor degree,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Concern for the environment,All,Amount of packaging on food items bought,BCDFGH,Often,NA,AC,Sometimes,Partner usually waters plants and does shopping,ABCD,Often,Partner buys most of food,ABDEF,Often,Often find it hard to find products without lots of packaging,C,Rarely,NA,"I try hard to act sustainably but my partner, who buys most of our food etc., does not always think of the packaging on food if it is a bargain, doesn't mind food going off if not paid much for it and will leave lights on saying its ok because they are energy saving so he could do a lot more."
68,Male,21-29,"Edinburgh, UK",0,Bachelor degree,Student,7-10 hours,Yes,All the time,"No, my partner and I are equally involved in sustainable activities",The current trajectory of our species,"Food, energy",Capitalism,ABCDEFGH,Often,NA,AG,Often,NA,AB,Often,NA,ABCEFG,Often,NA,NA,Often,NA,NA
69,Male,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working part-time",1-3 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Watched a film years ago that let to a MSc and a career in sustainability.,Travel,Difficulty making changes in my rented flat with a landlord I've never spoken to.,BCDF,All the time,NA,NA,Sometimes,NA,BCD,Often,"Household is mostly vegetarian, and due to everyone's low incomes, we're good at not wasting food..",ACDF,Often,NA,BC,Sometimes,NA,"My only flatmate who is female is South African and is the absolute worst at sustainability stuff when it comes to water, energy, eating meat etc. She's also transgender (she now identifies as female) if that skews your study at all."
70,Male,50-59,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",7-10 hours,Somewhat,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I worked in environmental services,Energy,Corporations,DEG,All the time,NA,A,All the time,Only run taps when water is needed. ,ACD,All the time,Grow small veg and chili's. Only buy in season veg and local produce. Only cook what we can eat.,NA,Often,Having been the manager of a recycling center in Norfolk and at one time being responsible for all 18 of the HWRCs in Norfolk. I can definitely say that there is absolutely no point in recycling. Unless it's for profit. Absolutely pointless. Seriously. I've done more recycling in one day than the average person does in a lifetime. Ask me anything. I don't recycle anything at home no point. Seriously! Ask me again? It's total nonsense. Waste is for profit. Absolutely for profit.,NA,Never,I tell people not to bother recycling As I have done all that for them!,No
71,Female,18-20,"Edinburgh, UK",0,High school diploma or equivalent,"Employed, working part-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Information regarding the (exclusively) negative affects of human activity on global ecosytems.,Food and waste ,Money,BDFG,Often,I have just moved into student accommodation and am beginning to see areas where we could act more sustainably as a flat ,AGH,Sometimes,NA,BCD,Often,We get most of our food from dumpster diving and avoid throwing out food as much as possible ,ABCDEFG,Often,NA,ABC,Often,NA,I don't yet see the link.
